dataset_id,model,feature_key,oof_gain,z_value,p_value
AN19,MFCC (39-D),mfcc39,0.029293610344641063,1.68052025770718,0.0928561362547589
AN19,STRF (24-D),strf24_legacy,0.04805750793376706,3.15515726067367,0.0016041161586919
AN19,HuBERT base,tr_10,0.07228371534383993,4.32847722605452,1.50143854931052e-05
AN19,HuBERT FT,tr_10,0.05338660673526907,3.19392689923767,0.0014035165226525
X21,MFCC (39-D),mfcc39,-0.00018913367854000995,-0.727269249602997,0.467061031688706
X21,STRF (24-D),strf24_legacy,3.1793756750109203e-06,-0.360820028377817,0.71823398952604
X21,HuBERT base,tr_14,0.005742028177058989,2.62616238849459,0.0086353609318526
X21,HuBERT FT,tr_22,0.006774557932340997,2.23567581469041,0.0253730143909839
B23,MFCC (39-D),mfcc39,1.4438867027011248e-05,1.99423207158915,0.0461266987768803
B23,STRF (24-D),strf24_legacy,0.00022779963218999555,1.63021537608827,0.103055985306337
B23,HuBERT base,tr_24,0.0005309439098469815,1.83481296194596,0.0665334073965881
B23,HuBERT FT,tr_6,0.00029537201437501714,1.67450779939597,0.0940308428655421
