dataset_id,model_variant,representation,layer,measure,estimand,fold,type,tau,predictor_scaling,training_predictor_mean,training_predictor_sd,z_train,z_test,estimate_train,std_error_train,p_value_train,estimate_test,std_error_test,p_value_test,poll_train,poll_test,optimism,n_train_rows,n_test_rows,n_train_trials,n_test_trials,percent_ceiling,source_path
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,1164.64763414449,67.2842584262487,-0.137300515658139,1.00641828245049,-0.0159699057953055,0.116313516513431,0.890793262860815,0.163346800732644,0.162305080880403,0.314214402711759,-0.672599299385606,-0.672617610153153,2.7223887334712e-05,3840,1920,3840,1920,4.541630885497259,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_5,overall,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,1166.47384407638,67.0235122643434,0.847633435226081,-0.150640297557917,0.0969000151274806,0.114318302110906,0.396642147738205,-0.0258139425434733,0.171361468092883,0.880259471248149,-0.671979504249881,-0.673277655961045,0.0019318322998756,3840,1920,3840,1920,0.6797895466721011,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_6,overall,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,1250.51549752583,72.1300314565279,-0.0952836344641996,-0.504050524091965,-0.0104335465504259,0.109499880111585,0.924089541312211,-0.0673268622745618,0.133571654142905,0.614225873237396,-0.672999042089858,-0.671708755474507,-0.0019172190963963,3840,1920,3840,1920,2.274612323708224,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_6,overall,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,1247.24382589818,77.4029260282972,-0.655044011699233,0.197238756018525,-0.0728609888068626,0.111230676879032,0.512439417941844,0.0304734616377405,0.154500374332509,0.84364070335524,-0.672621791093886,-0.672387822285545,-0.0003478460130776,3840,1920,3840,1920,0.8900728869607546,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,cnn_6,overall,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,1249.70470547703,76.1725904934318,-0.209644868645842,-0.394777162300063,-0.0218924968433921,0.104426580935666,0.8339448576179,-0.067571877249366,0.171164605509794,0.693007350681889,-0.672160384863537,-0.673418453123224,0.0018716786767236,3840,1920,3840,1920,1.7814979958684647,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,tr_0,overall,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,1185.69544845208,95.2842593193412,-0.110469191104541,0.541930689362643,-0.0132905295460954,0.12030982949371,0.912037282235345,0.0855856282611678,0.157927258856338,0.58786625420029,-0.672697944147776,-0.671659055851588,-0.0015443607420325,3840,1920,3840,1920,2.4455529073015225,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,tr_0,overall,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,1186.87957839523,96.6413573279012,0.282090453536206,-0.0749821880908213,0.0336200773629728,0.119181904036528,0.777874153084783,-0.0129825904661287,0.173142326153561,0.940228883836344,-0.672589741633728,-0.671763752423003,-0.0012280728646245,3840,1920,3840,1920,0.3383696691859247,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,tr_0,overall,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,1188.14028596056,96.3367410268984,0.481340744314765,-0.171991721536228,0.0559016853975291,0.116137447448191,0.63027434358925,-0.0301553215078272,0.175330075415725,0.863444037275503,-0.671885443117702,-0.673358145102343,0.0021918944661275,3840,1920,3840,1920,0.776141419725455,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,tr_2,overall,actual_exposure_variability,1,corrected_tau2,2,training_fold_gelman_2sd,1239.87773867867,61.5905809469526,-0.424673529571636,-0.860033911538069,-0.0466799447373186,0.10991960055623,0.671074682881191,-0.12015338672526,0.139707731420009,0.389770349498841,-0.673195431269679,-0.67158341519552,-0.0023945736992283,3840,1920,3840,1920,3.8810469198809123,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,tr_2,overall,actual_exposure_variability,2,corrected_tau2,2,training_fold_gelman_2sd,1238.93254305625,63.7321593115889,-0.697559919528029,-0.416291633268048,-0.0757954909066959,0.10865803608381,0.48545245453388,-0.0654669103688481,0.157262133410917,0.67719661415925,-0.672703140907506,-0.672706640549102,5.20235655692015e-06,3840,1920,3840,1920,1.8785856457424543,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
AN19,base,hubert_tsne_3d,tr_2,overall,actual_exposure_variability,3,corrected_tau2,2,training_fold_gelman_2sd,1241.22897335385,63.996899466953,-0.871122279730469,-0.195886726577634,-0.0923034686810915,0.105959256041127,0.383687390280644,-0.0324031374979756,0.165417729236154,0.844698826659897,-0.67217744721264,-0.673633057125263,0.0021655143573461,3840,1920,3840,1920,0.8839716278978716,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\results\statistics\AN19-base-variability-z-notebook-simplified-tau2-v1\heldout_refit_z.csv
