dataset_id,fold,z_test,ceiling_mean_z,ceiling_percent
AN19,1,21.8300514044477,22.159843189024333,98.51175939394746
AN19,2,19.5647611499582,22.159843189024333,88.28925811013201
AN19,3,25.0847170126671,22.159843189024333,113.19898249592055
X21,1,22.6650278068661,21.73735479643067,104.26764442648633
X21,2,19.9694885807144,21.73735479643067,91.86715112177974
X21,3,22.5775480017115,21.73735479643067,103.8652044517339
B23,1,5.72832177238665,4.64163540607918,123.41171314067947
B23,2,4.0901062799157,4.64163540607918,88.1177844032916
B23,3,4.10647816593519,4.64163540607918,88.47050245602894
