dataset_id,family,variant,feature_key,estimate,std_error,z_value,p_value,conf_low,conf_high,coefficient_q_bh,chisq,df,lrt_p_value,M_condition,M_joint,M_predictor,oof_gain_joint_vs_condition,model_directory,diagnostics_valid,numerically_valid,numerical_note
AN19,HuBERT t-SNE exp(k=1),base,cnn_2,0.0753364515803127,0.127571615045669,0.590542430252553,0.554827048149322,-0.174703913909199,0.325376817069824,0.854945538661716,0.61597568513389,1.0,0.43254668968066,0.684897510781729,0.682906343668124,0.690839093969617,0.00199116711360503,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,cnn_3,0.105739694522929,0.0601490284703643,1.75796180274179,0.0787540088116228,-0.0121524012789853,0.223631790324843,0.47252405286973675,3.2641291817863,1.0,0.0708106093862633,0.684897510781729,0.681713910764667,0.689585212555227,0.0031836000170619716,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,cnn_4,0.0207620641345945,0.0730446045944449,0.284238161735131,0.776227872129139,-0.122405360870517,0.163929489139706,0.884495273263857,0.0863698240882513,1.0,0.768843920247341,0.684897510781729,0.684340736189964,0.691824408150698,0.0005567745917649525,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,cnn_5,0.043082631877192,0.0487645558456108,0.883482503431225,0.37697563177802,-0.0524958975802051,0.138661161334589,0.848195171500545,0.799396015134334,1.0,0.371274012429413,0.684897510781729,0.684641433230776,0.692264476052182,0.00025607755095302664,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,cnn_6,0.0151222301216247,0.0403472204439006,0.374802277709585,0.707807520186957,-0.0639583219484205,0.0942027821916699,0.884495273263857,0.140951477133058,1.0,0.707336941577797,0.684897510781729,0.685353674787759,0.692729720905826,-0.00045616400602999096,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_0,-0.0376925600963135,0.0571891287839231,-0.659086104261647,0.509840478293826,-0.149783252512803,0.0743981323201758,0.854945538661716,0.344042604989227,1.0,0.557504996665058,0.684897510781729,0.685103903545157,0.692609101348645,-0.0002063927634280427,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_10,-0.0817291968251507,0.0592801931355366,-1.37869316043366,0.167989379184256,-0.197918375370802,0.034459981720501,0.7559522063291519,1.67261325959225,1.0,0.195908875206797,0.684897510781729,0.689629050372962,0.697222553594216,-0.004731539591232958,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_12,-0.0339523399348329,0.05976420143753,-0.568104971172792,0.569963692441144,-0.151090174752392,0.0831854948827259,0.854945538661716,0.277591647021836,1.0,0.598284098788353,0.684897510781729,0.686033325760719,0.693534496254451,-0.0011358149789899574,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_14,0.0973496798435126,0.102933644540444,0.945751802320211,0.344275193956514,-0.104400263455757,0.299099623142782,0.848195171500545,0.860993538735784,1.0,0.353460806146263,0.684897510781729,0.67851638642219,0.686538021407533,0.00638112435953897,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
AN19,HuBERT t-SNE exp(k=1),base,tr_16,0.0200502035779082,0.05552226968673,0.361120027892164,0.71800972196246,-0.0887734450080826,0.128873852163899,0.884495273263857,0.135318551077034,1.0,0.712980088849053,0.684897510781729,0.683084108289145,0.690704757956347,0.0018134024925839931,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-SBI-exp-base,True,True,ok
