dataset_id,model_variant,representation,measure,layer,mean_percent_ceiling,fold_bootstrap95_low,fold_bootstrap95_high,mean_z_test,min_fold_z_test,max_fold_z_test,n_folds
AN19,base,hubert_tsne_3d,overall,cnn_2,-0.038049478308486005,-1.4631892553110877,1.7012689045123757,-0.008431704727402326,-0.356571778465741,0.538626901533193,3
AN19,base,hubert_tsne_3d,within_token_word,cnn_2,-1.936674455841947,-4.2959698539487325,-0.12078340575529525,-0.4291640224964657,-1.19175171493171,-0.0106264769286544,3
AN19,base,hubert_tsne_3d,within_type_word,cnn_2,-2.259355374209142,-4.440084273251066,-0.20012920734130046,-0.5006696080075398,-1.13885749776292,0.0605902391188217,3
AN19,base,hubert_tsne_3d,between_type_word,cnn_2,1.4345279906147834,-0.68806355589533,3.896943100215025,0.31788915322289774,-0.223063146482331,1.07399679207135,3
AN19,base,hubert_tsne_3d,order_word,cnn_2,0.28885240356193864,-0.719820162672171,1.1112644240374048,0.06400923967705334,-0.25395434825928,0.264044128004426,3
AN19,base,hubert_tsne_3d,mean_dissimilarity_word,cnn_2,-3.1357106627139513,-5.3803411142221655,-0.7953052020628992,-0.6948685657189273,-1.31308325622648,-0.0160150413818688,3
AN19,base,hubert_tsne_3d,overall,cnn_3,-0.8755706371168458,-2.3148721918455575,0.6439148558763514,-0.19402508019423434,-0.587149339384385,0.249866707516472,3
AN19,base,hubert_tsne_3d,within_token_word,cnn_3,-1.7437464956491613,-5.196199946103084,1.1394902294498161,-0.3864114890499612,-1.46276477934566,0.329548847690438,3
AN19,base,hubert_tsne_3d,within_type_word,cnn_3,-2.573351965846694,-5.182442834597636,-0.44402326306705053,-0.5702507603333024,-1.39235826284,-0.051899096853766,3
AN19,base,hubert_tsne_3d,between_type_word,cnn_3,1.9925674669232822,-0.7241538195414914,4.6909043365186545,0.44154982610571364,-0.330207387850237,1.20166716020602,3
AN19,base,hubert_tsne_3d,order_word,cnn_3,0.8750627332371842,-0.8419800386078514,2.2891056848084648,0.19391252949095036,-0.34488682648352,0.540871071077736,3
AN19,base,hubert_tsne_3d,mean_dissimilarity_word,cnn_3,-3.2746144813265374,-5.110399788389201,-0.9306758140770001,-0.7256494341070431,-1.15598817033037,0.0264206957653407,3
AN19,base,hubert_tsne_3d,overall,cnn_4,-0.4841719472775193,-0.8383276347087333,-0.14532991826271652,-0.10729174428194382,-0.210161198358884,-0.014117955038088,3
AN19,base,hubert_tsne_3d,within_token_word,cnn_4,0.3304823878763068,-0.901510025530627,1.7169163040675657,0.07323437892073277,-0.248239626688968,0.492491226918375,3
AN19,base,hubert_tsne_3d,within_type_word,cnn_4,-1.613814933064689,-3.8736920206323253,0.689976364373464,-0.357618858528193,-0.989228733037504,0.301794787538278,3
AN19,base,hubert_tsne_3d,between_type_word,cnn_4,2.803420195855237,-0.01197685203621296,5.729099041809266,0.6212335193309593,-0.155905777597145,1.46819645487822,3
AN19,base,hubert_tsne_3d,order_word,cnn_4,1.761568822909884,-0.15020739505578148,4.234991340622999,0.3903608888235721,-0.0521071744979094,1.18842877871932,3
AN19,base,hubert_tsne_3d,mean_dissimilarity_word,cnn_4,-2.326519576002361,-5.458303186776786,0.642210458510398,-0.5155530898040769,-1.43006290737785,0.295721251159179,3
