"dataset_id","feature_key","model_id","formula","optimizer","random_structure","structure_reason","n_rows","total_trials","fit_ok","singular","convergence","warnings","error","log_likelihood","deviance","AIC","n_observations"
"AN19","tr_10","M_condition","cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts","talker random-intercept candidate was singular or failed convergence",5685,5685,TRUE,FALSE,"ok","",,-2154.29926655332,3513.75134243751,4328.59853310664,5685
"AN19","tr_10","M_predictor","cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts","talker random-intercept candidate was singular or failed convergence",5685,5685,TRUE,FALSE,"ok","",,-2154.98440622609,3518.43093227771,4321.96881245218,5685
"AN19","tr_10","M_joint","cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts","talker random-intercept candidate was singular or failed convergence",5685,5685,TRUE,FALSE,"ok","",,-2145.70441880981,3525.90758238046,4313.40883761963,5685
