case_id,condition_id,feature_key,mean_training_slope_participant_item,mean_training_slope_registered,mean_training_z_participant_item,mean_training_z_registered,pooled_test_mean_log_loss_participant_item,pooled_test_mean_log_loss_registered,singular_fits_participant_item,singular_fits_registered,convergence_message_fits_participant_item,convergence_message_fits_registered,predictor_boundary_fits_participant_item,predictor_boundary_fits_registered,delta_mean_training_slope,delta_mean_training_z,delta_pooled_test_mean_log_loss
all_conditions,all,mfcc39,0.2787369531002443,0.2729777984875137,2.4533200435573934,2.3987518467293936,0.6616651993929692,0.6621785867049587,0.0,0.0,0.0,0.0,0.0,,0.0057591546127306326,0.05456819682799985,-0.0005133873119894661
all_conditions,all,mfcc_c0,0.1916452117349073,0.18279699089253132,1.73739375554982,1.6502291174024366,0.6727318146084403,0.673436080701607,0.0,0.0,0.0,0.0,0.0,,0.008848220842375992,0.0871646381473834,-0.00070426609316665
all_conditions,all,mfcc_delta13,0.3601412751535344,0.3529494241207623,2.7905298218173464,2.726333368780107,0.660072260995264,0.6604963472505224,0.0,0.0,0.0,0.0,0.0,,0.00719185103277209,0.06419645303723964,-0.0004240862552584712
all_conditions,all,mfcc_delta_delta13,0.36224760790065763,0.35590056895209904,2.5616168746868033,2.510691090078223,0.6586577496251759,0.6590449612275674,0.0,0.0,0.0,0.0,0.0,,0.006347038948558592,0.050925784608580216,-0.00038721160239152397
all_conditions,all,mfcc_static13,0.1286028199724418,0.1227878348040239,1.1593726709994032,1.100381695429538,0.6872002881512652,0.6873744717436983,0.0,0.0,0.0,0.0,0.0,,0.005814985168417899,0.05899097556986521,-0.0001741835924330415
all_conditions,all,mfcc_static_spectral12,0.10627784134025813,0.10115753840916959,0.9394002355114074,0.888501364527542,0.6894049938190925,0.6895179903904565,0.0,0.0,0.0,0.0,0.0,,0.005120302931088533,0.05089887098386536,-0.000112996571363988
all_conditions,all,strf24_legacy,0.4315377488374354,0.4264252058649453,3.8714695892228366,3.8169921075687636,0.63987615202059,0.6403836179635832,0.0,0.0,0.0,0.0,0.0,,0.005112542972490086,0.05447748165407296,-0.0005074659429932238
all_conditions,all,strf_direction_negative,0.3985008358487287,0.3965843753762617,3.622091947120483,3.585594427360276,0.6467896026255334,0.6469727790325255,0.0,0.0,0.0,0.0,0.0,,0.0019164604724670187,0.0364975197602071,-0.00018317640699205828
all_conditions,all,strf_direction_positive,0.41717395991213135,0.412357259989028,3.6535927061403335,3.60936048015936,0.6442463615497931,0.644766145241252,0.0,0.0,0.0,0.0,0.0,,0.004816699923103351,0.04423222598097354,-0.000519783691458886
all_conditions,all,strf_rate_16,0.30693528227413436,0.287657038886904,2.3631438316755764,2.19938616515897,0.6532893609235402,0.655217243155505,0.0,0.0,0.0,0.0,0.0,,0.01927824338723033,0.16375766651660628,-0.001927882231964828
all_conditions,all,strf_rate_2,0.1280198077262837,0.12985555517859834,1.4087892615964133,1.42622776932692,0.6828978778901101,0.6827963423738261,0.0,0.0,0.0,0.0,0.0,,-0.0018357474523146289,-0.017438507730506814,0.00010153551628400148
all_conditions,all,strf_rate_4,0.34970460504012535,0.346380261794889,3.4215450817256365,3.3809639853005033,0.65958531608053,0.6598397322557588,0.0,0.0,0.0,0.0,0.0,,0.0033243432452363386,0.04058109642513319,-0.000254416175228811
all_conditions,all,strf_rate_8,0.30104683567763196,0.29356831426066937,2.8677234762924435,2.785902350253103,0.6650251949422972,0.6655566876298037,0.0,0.0,0.0,0.0,0.0,,0.007478521416962591,0.08182112603934044,-0.0005314926875065185
all_conditions,all,strf_scale_0p25,0.43225785714699194,0.4276078699568377,3.6589199886035235,3.6169138191333903,0.6422145631178616,0.6425681928742387,0.0,0.0,0.0,0.0,0.0,,0.004649987190154248,0.04200616947013325,-0.00035362975637709404
all_conditions,all,strf_scale_0p5,0.269243690934021,0.26491446458698203,2.67289973309212,2.6308488865646233,0.6623385116372881,0.6627580869668988,0.0,0.0,0.0,0.0,0.0,,0.0043292263470389725,0.04205084652749669,-0.00041957532961067745
all_conditions,all,strf_scale_1p0,0.2643359435108226,0.26008720249930234,2.3867747541373503,2.3265759194485995,0.6784065407194078,0.678565879857165,0.0,0.0,0.0,0.0,0.0,,0.004248741011520285,0.06019883468875076,-0.00015933913775723063
c0,AN19.Korean.test_Korean,mfcc39,1.1256542438525279,1.1256542438525279,3.31508761722336,3.31508761722336,0.6329396791941087,0.6329396791941087,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
c0,AN19.Korean.test_Korean,strf24_legacy,1.48298628783442,1.4829848544145934,4.416828234473614,4.416803765803297,0.6039219929657156,0.6039221838928743,0.0,0.0,0.0,0.0,0.0,,1.4334198266130471e-06,2.4468670316579733e-05,-1.9092715874968746e-07
c1,AN19.Korean.test_Spanish,mfcc39,1.274897184728886,1.274897184728886,3.4861151072187737,3.4861151072187737,0.6615658621512448,0.6615658621512448,2.0,2.0,2.0,2.0,1.0,,0.0,0.0,0.0
c1,AN19.Korean.test_Spanish,strf24_legacy,1.9574858153848,1.9673601914106167,4.86372860795602,4.820881807989614,0.6687093556081825,0.6698308911147622,2.0,2.0,2.0,2.0,1.0,,-0.009874376025816645,0.042846799966405946,-0.001121535506579785
c2,AN19.Mixed.test_Korean,mfcc39,0.6477523237628027,0.61527833821624,3.113148843323477,2.904967334560196,0.6249618310977682,0.6261172893498962,0.0,0.0,0.0,0.0,0.0,,0.03247398554656267,0.208181508763281,-0.0011554582521280388
c2,AN19.Mixed.test_Korean,strf24_legacy,0.5911391840835893,0.5596885810617264,3.004201075454427,2.750014541822113,0.6244756992979897,0.6255771898513236,0.0,0.0,0.0,0.0,0.0,,0.03145060302186298,0.2541865336323137,-0.0011014905533338615
c3,AN19.Mixed.test_Spanish,mfcc39,1.0196726831584106,1.0196726831584106,3.2493170958726534,3.2493170958726534,0.6586020657938341,0.6586020657938341,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
c3,AN19.Mixed.test_Spanish,strf24_legacy,1.0735826774764432,1.0735818397829304,3.4528927173829635,3.4528894324425266,0.6478256374675855,0.6478254848679021,0.0,0.0,0.0,0.0,0.0,,8.376935127785146e-07,3.2849404369983404e-06,1.525996833340315e-07
c4,AN19.Spanish.test_Korean,mfcc39,0.745665365039724,0.7340522981024199,2.80373005900276,2.7483740854256298,0.6661829830841026,0.6661905089153582,0.0,0.0,0.0,0.0,0.0,,0.011613066937304128,0.05535597357713007,-7.525831255628113e-06
c4,AN19.Spanish.test_Korean,strf24_legacy,0.9025552853000578,0.898265254157003,3.47251943794929,3.4530265678653334,0.6534053635418279,0.6534527007882195,0.0,0.0,0.0,0.0,0.0,,0.004290031143054818,0.019492870083956504,-4.7337246391609966e-05
c5,AN19.Spanish.test_Spanish,mfcc39,1.5955476332358665,1.5955476332358665,3.45854563633503,3.45854563633503,0.7126733971140943,0.7126733971140943,8.0,8.0,8.0,8.0,4.0,,0.0,0.0,0.0
c5,AN19.Spanish.test_Spanish,strf24_legacy,1.9244374080243267,1.9244374080243267,4.2851041571696395,4.2851041571696395,0.6752847564734586,0.6752847564734586,8.0,8.0,8.0,8.0,4.0,,0.0,0.0,0.0
