analysis_row_id,condition_id,dataset_id,distance,item_id,item_talker,layer,model_variant,participant_id,representation,response_correct,response_incorrect,condition_class,test_accent,listener_accuracy,model_similarity,similarity_k
AN19:AN19.1:022,AN19.Korean.test_Korean,AN19,10.327564349961966,AN19.KOR.km8.HW72,AN19.KOR.km8,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5002750812520955,0.0670629730176613
AN19:AN19.1:023,AN19.Korean.test_Korean,AN19,5.463489576379881,AN19.KOR.kf1.HW52,AN19.KOR.kf1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6932269431956883,0.0670629730176613
AN19:AN19.1:024,AN19.Korean.test_Korean,AN19,5.160305645380366,AN19.KOR.kf5.EW65,AN19.KOR.kf5,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7074661902359142,0.0670629730176613
AN19:AN19.1:025,AN19.Korean.test_Korean,AN19,11.466814363233448,AN19.KOR.km3.EW66,AN19.KOR.km3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.4634769329837229,0.0670629730176613
AN19:AN19.1:026,AN19.Korean.test_Korean,AN19,9.529031609145928,AN19.KOR.kf1.EW51,AN19.KOR.kf1,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5277961287195927,0.0670629730176613
AN19:AN19.1:027,AN19.Korean.test_Korean,AN19,6.557200285732118,AN19.KOR.km8.HW73,AN19.KOR.km8,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6442004485254269,0.0670629730176613
AN19:AN19.1:028,AN19.Korean.test_Korean,AN19,5.308711189224755,AN19.KOR.kf5.HW60,AN19.KOR.kf5,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.7004600431930788,0.0670629730176613
AN19:AN19.1:029,AN19.Korean.test_Korean,AN19,6.00807647057908,AN19.KOR.km8.HW70,AN19.KOR.km8,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.6683659205072805,0.0670629730176613
AN19:AN19.1:030,AN19.Korean.test_Korean,AN19,9.08824913904898,AN19.KOR.kf3.HW57,AN19.KOR.kf3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.5436307631484034,0.0670629730176613
AN19:AN19.1:031,AN19.Korean.test_Korean,AN19,5.063704065681111,AN19.KOR.kf3.EW57,AN19.KOR.kf3,tr_24,ft,AN19.1,hubert_tsne_3d,1,0,Korean exposure,KOR,1,0.712064309636234,0.0670629730176613
