tau,objective,best_k,best_score,linear_limit_score,improvement_over_limit,mean_distance,sd_distance,zero_distance_rows,best_k_times_mean_distance
0.5,z,0.0179141104306328,4.63473283578356,4.52664623226238,0.10808660352117982,27.607714396576124,24.351029492060327,2679,0.4945676444376357
0.625,z,0.0257466658709045,4.62721167783883,4.51193414585528,0.1152775319835504,18.409819030088716,16.203261459716565,2679,0.4739914593115133
0.75,z,0.0370038359445673,4.61795035706011,4.49221559731152,0.12573475974858983,14.174391046344047,12.45091449281359,2679,0.5245068408930588
0.875,z,0.05,4.60785907381229,4.46910546278736,0.13875361102492967,11.833763928266984,10.370971188658705,2679,0.5916881964133492
1.0,z,0.0531829589694499,4.59785413680105,4.44559809379688,0.1522560430041704,10.384277199241172,9.080880697381374,2679,0.5522665882146374
1.125,z,0.0764360518996802,4.58919952852461,4.42518889152096,0.16401063700365004,9.416092725679453,8.219534503237796,2679,0.7197289522722359
1.25,z,0.0764360518996802,4.58721075567413,4.40854055874439,0.1786701969297404,8.732499454019298,7.611673321023674,2679,0.667477781481348
1.375,z,0.0764360518996802,4.58229303102655,4.39135627529904,0.19093675572751057,8.229236667791016,7.1645435555464205,2679,0.6290103610340254
1.5,z,0.0764360518996802,4.57720997998049,4.37676013276163,0.20044984721886028,7.846613878608853,6.824874435593327,2679,0.5997641856620972
1.625,z,0.109856054330612,4.57393368070077,4.36409437069224,0.20983931000852962,7.548047367358487,6.559950251262121,2679,0.8291987016785669
1.75,z,0.109856054330612,4.57357296864652,4.35297894336273,0.22059402528378946,7.310206180607723,6.34909848053636,2679,0.8030704073448177
1.875,z,0.109856054330612,4.57237208100454,4.34250464930057,0.22986743170396995,7.117348324361051,6.178300647212801,2679,0.7818838042108979
2.0,z,0.109856054330612,4.5713077267041,4.33361562930939,0.2376920973947092,6.95876941437598,6.038009976133107,2679,0.7644629508598887
2.125,z,0.109856054330612,4.57033168358912,4.3259595055356,0.24437217805351974,6.826685247385659,5.921343048593401,2679,0.7499527054347864
2.25,z,0.109856054330612,4.56947910875372,4.31916414180551,0.25031496694820987,6.715372817563285,5.8231328395960045,2679,0.7377243610965473
