dataset_id,fold,Keyword,TestTalkerID,SentenceID,ceiling_z,numCorrect,numIncorrect
X21,1,dangerous,X21.CMN.CMN_M_032,HT1_S003,0.7222939175401425,10,3
X21,1,big,X21.CMN.CMN_M_043,HT1_S003,0.7222939175401425,13,0
X21,1,dogs,X21.CMN.CMN_M_043,HT1_S003,-0.45201636861355976,7,6
X21,1,be,X21.CMN.CMN_M_043,HT1_S003,-0.06968730652242369,10,3
X21,1,dangerous,X21.CMN.CMN_M_043,HT1_S003,-0.5061179508305017,8,5
X21,1,big,X21.CMN.CMN_M_037,HT1_S003,-0.17365338776788264,10,3
X21,1,dogs,X21.CMN.CMN_M_037,HT1_S003,-0.6063729694991911,7,6
X21,1,be,X21.CMN.CMN_M_037,HT1_S003,-0.06968730652242369,13,0
X21,1,dangerous,X21.CMN.CMN_M_037,HT1_S003,-0.06968730652242369,11,2
X21,1,big,X21.CMN.CMN_M_035,HT1_S003,0.2761757961745147,14,1
X21,1,dogs,X21.CMN.CMN_M_035,HT1_S003,-0.09708006839663343,15,0
X21,1,be,X21.CMN.CMN_M_035,HT1_S003,-0.5431981897622613,14,1
X21,1,dangerous,X21.CMN.CMN_M_035,HT1_S003,-0.48703221875055114,14,1
X21,1,grew,X21.CMN.CMN_M_037,HT1_S015,-0.557281861686833,8,5
X21,1,lots,X21.CMN.CMN_M_037,HT1_S015,-0.7010027373187343,6,7
X21,1,vegetables,X21.CMN.CMN_M_037,HT1_S015,-0.6063729694991911,8,5
X21,1,grew,X21.CMN.CMN_M_043,HT1_S015,-0.3299407364210524,12,1
X21,1,lots,X21.CMN.CMN_M_043,HT1_S015,-0.9425485951385797,3,10
X21,1,vegetables,X21.CMN.CMN_M_043,HT1_S015,-0.7476638086503472,6,7
X21,1,grew,X21.CMN.CMN_M_032,HT1_S015,-0.8913846842822484,2,11
X21,1,lots,X21.CMN.CMN_M_032,HT1_S015,-0.7476638086503472,6,7
X21,1,vegetables,X21.CMN.CMN_M_032,HT1_S015,-1.3789792394466578,1,12
X21,1,grew,X21.CMN.CMN_M_035,HT1_S015,-0.09708006839663343,15,0
X21,1,lots,X21.CMN.CMN_M_035,HT1_S015,-0.6991343747837974,8,7
X21,1,vegetables,X21.CMN.CMN_M_035,HT1_S015,-0.09708006839663343,13,2
X21,1,argues,X21.CMN.CMN_M_035,HT1_S016,-0.749532171185284,8,7
X21,1,sister,X21.CMN.CMN_M_035,HT1_S016,0.2761757961745147,14,1
X21,1,argues,X21.CMN.CMN_M_043,HT1_S016,-0.2578972529440551,11,2
X21,1,sister,X21.CMN.CMN_M_043,HT1_S016,0.7222939175401425,11,2
X21,1,argues,X21.CMN.CMN_M_032,HT1_S016,-0.9966501773555215,1,12
X21,1,sister,X21.CMN.CMN_M_032,HT1_S016,0.7222939175401425,11,2
X21,1,argues,X21.CMN.CMN_M_037,HT1_S016,-0.06968730652242369,13,0
X21,1,sister,X21.CMN.CMN_M_037,HT1_S016,-0.06968730652242369,13,0
X21,1,family,X21.CMN.CMN_M_037,HT1_S013,-0.1182167403889734,11,2
X21,1,likes,X21.CMN.CMN_M_037,HT1_S013,-0.2578972529440551,10,3
X21,1,fish,X21.CMN.CMN_M_037,HT1_S013,-0.5061179508305017,11,2
X21,1,family,X21.CMN.CMN_M_032,HT1_S013,0.29526152825446544,13,0
X21,1,likes,X21.CMN.CMN_M_032,HT1_S013,0.7222939175401425,12,1
X21,1,fish,X21.CMN.CMN_M_032,HT1_S013,0.30137469437525777,12,1
X21,1,family,X21.CMN.CMN_M_043,HT1_S013,0.30137469437525777,13,0
X21,1,likes,X21.CMN.CMN_M_043,HT1_S013,-0.7945829159208225,4,9
X21,1,fish,X21.CMN.CMN_M_043,HT1_S013,-0.5061179508305017,9,4
X21,1,family,X21.CMN.CMN_M_035,HT1_S013,0.14852801563161552,15,0
