"dataset_id","feature_key","held_out_fold","n_training_rows","n_held_out_rows","training_mean","training_sd"
"X21","tr_14",0,10969,5508,6.78801947471562,5.99128348460118
"X21","tr_14",1,10974,5503,6.68610386611072,5.97902331281085
"X21","tr_14",2,11011,5466,6.79435473633616,5.99425278909443
