dataset_id,model_variant,representation,layer,fold,type,alpha,k,z_train,z_test,poll_train,poll_test,optimism
AN19,acoustic_baseline,mfcc39,global_z,1,corrected,0.1,0.04203988916437662,11.298159806029934,11.383214704192847,-0.6347602143184997,-0.6296493278786485,-0.0080516805000743
AN19,acoustic_baseline,mfcc39,global_z,2,corrected,0.1,0.004696163979037417,11.395956337210912,12.470763816852907,-0.6295103099027,-0.6249357853052957,-0.007266798534421654
AN19,acoustic_baseline,mfcc39,global_z,3,corrected,0.1,0.004696163979037417,12.47076609681726,11.307121195891852,-0.6249357853053366,-0.6346962066437735,0.015618278818307832
