dataset_id,model_variant,representation,layer,measure,estimand,fold,scope,converged,singular,optimizer_code,convergence_messages,warnings,elapsed_seconds
AN19,base,hubert_tsne_3d,cnn_3,overall,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.5
AN19,base,hubert_tsne_3d,cnn_3,within_token_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.75
AN19,base,hubert_tsne_3d,cnn_3,within_token_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.4
AN19,base,hubert_tsne_3d,cnn_3,within_token_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.95
AN19,base,hubert_tsne_3d,cnn_3,within_token_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.43
AN19,base,hubert_tsne_3d,cnn_3,within_token_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.86
AN19,base,hubert_tsne_3d,cnn_3,within_token_word,actual_exposure_variability,3,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.42
AN19,base,hubert_tsne_3d,cnn_3,within_type_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.75
AN19,base,hubert_tsne_3d,cnn_3,within_type_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.56
AN19,base,hubert_tsne_3d,cnn_3,within_type_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.7
AN19,base,hubert_tsne_3d,cnn_3,within_type_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.59
AN19,base,hubert_tsne_3d,cnn_3,within_type_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.2
AN19,base,hubert_tsne_3d,cnn_3,within_type_word,actual_exposure_variability,3,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.56
AN19,base,hubert_tsne_3d,cnn_3,between_type_word,actual_exposure_variability,1,train_refit,True,False,0,,,1.18
AN19,base,hubert_tsne_3d,cnn_3,between_type_word,actual_exposure_variability,1,heldout_refit,True,False,0,,,0.69
AN19,base,hubert_tsne_3d,cnn_3,between_type_word,actual_exposure_variability,2,train_refit,True,False,0,,,1.35
AN19,base,hubert_tsne_3d,cnn_3,between_type_word,actual_exposure_variability,2,heldout_refit,True,False,0,,,0.680000000000001
AN19,base,hubert_tsne_3d,cnn_3,between_type_word,actual_exposure_variability,3,train_refit,True,False,0,,,1.31
AN19,base,hubert_tsne_3d,cnn_3,between_type_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.739999999999999
AN19,base,hubert_tsne_3d,cnn_3,order_word,actual_exposure_variability,1,train_refit,True,False,0,,,0.89
AN19,base,hubert_tsne_3d,cnn_3,order_word,actual_exposure_variability,1,heldout_refit,True,False,0,,,0.49
AN19,base,hubert_tsne_3d,cnn_3,order_word,actual_exposure_variability,2,train_refit,True,False,0,,,1.0
AN19,base,hubert_tsne_3d,cnn_3,order_word,actual_exposure_variability,2,heldout_refit,True,False,0,,,0.83
AN19,base,hubert_tsne_3d,cnn_3,order_word,actual_exposure_variability,3,train_refit,True,False,0,,,1.1
AN19,base,hubert_tsne_3d,cnn_3,order_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.5
AN19,base,hubert_tsne_3d,cnn_3,mean_dissimilarity_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.28
AN19,base,hubert_tsne_3d,cnn_3,mean_dissimilarity_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.8
AN19,base,hubert_tsne_3d,cnn_3,mean_dissimilarity_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.64
AN19,base,hubert_tsne_3d,cnn_3,mean_dissimilarity_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.84
AN19,base,hubert_tsne_3d,cnn_3,mean_dissimilarity_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.39
AN19,base,hubert_tsne_3d,cnn_3,mean_dissimilarity_word,actual_exposure_variability,3,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.69
AN19,base,hubert_tsne_3d,cnn_4,overall,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.89
AN19,base,hubert_tsne_3d,cnn_4,overall,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.5
AN19,base,hubert_tsne_3d,cnn_4,overall,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.98
AN19,base,hubert_tsne_3d,cnn_4,overall,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.47
AN19,base,hubert_tsne_3d,cnn_4,overall,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.03
AN19,base,hubert_tsne_3d,cnn_4,overall,actual_exposure_variability,3,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.69
AN19,base,hubert_tsne_3d,cnn_4,within_token_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.4
AN19,base,hubert_tsne_3d,cnn_4,within_token_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.47
AN19,base,hubert_tsne_3d,cnn_4,within_token_word,actual_exposure_variability,2,train_refit,True,False,0,,,1.22
AN19,base,hubert_tsne_3d,cnn_4,within_token_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.45
AN19,base,hubert_tsne_3d,cnn_4,within_token_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.08
AN19,base,hubert_tsne_3d,cnn_4,within_token_word,actual_exposure_variability,3,heldout_refit,True,False,0,,,0.5
AN19,base,hubert_tsne_3d,cnn_4,within_type_word,actual_exposure_variability,1,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.83
AN19,base,hubert_tsne_3d,cnn_4,within_type_word,actual_exposure_variability,1,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.42
AN19,base,hubert_tsne_3d,cnn_4,within_type_word,actual_exposure_variability,2,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.83
AN19,base,hubert_tsne_3d,cnn_4,within_type_word,actual_exposure_variability,2,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.43
AN19,base,hubert_tsne_3d,cnn_4,within_type_word,actual_exposure_variability,3,train_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,1.08
AN19,base,hubert_tsne_3d,cnn_4,within_type_word,actual_exposure_variability,3,heldout_refit,False,True,0,boundary (singular) fit: see help('isSingular'),,0.75
AN19,base,hubert_tsne_3d,cnn_4,between_type_word,actual_exposure_variability,1,train_refit,True,False,0,,,0.78
AN19,base,hubert_tsne_3d,cnn_4,between_type_word,actual_exposure_variability,1,heldout_refit,True,False,0,,,0.45
AN19,base,hubert_tsne_3d,cnn_4,between_type_word,actual_exposure_variability,2,train_refit,True,False,0,,,0.89
