case_id,condition_id,feature_key,policy,mean_training_slope,mean_training_z,pooled_test_mean_log_loss,pooled_test_mean_log_loss_null,pooled_test_improvement_mean_log_loss,positive_test_improvement_folds,positive_training_slope_folds,fitted_structures,failed_fits,singular_fits,convergence_message_fits,nonboundary_convergence_message_fits,boundary_only_fits,predictor_boundary_fits,variance_components_available
all_conditions,all,mfcc39,participant_item,0.2787369531002443,2.4533200435573934,0.6616651993929692,0.6922747159217515,0.0306095165287823,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,mfcc39,registered,0.2729777984875137,2.3987518467293936,0.6621785867049587,0.6922890575451804,0.03011047084022178,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,mfcc_c0,participant_item,0.1916452117349073,1.73739375554982,0.6727318146084403,0.6922747159217515,0.019542901313311156,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,mfcc_c0,registered,0.18279699089253132,1.6502291174024366,0.673436080701607,0.6922797521773877,0.0188436714757807,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,mfcc_delta13,participant_item,0.3601412751535344,2.7905298218173464,0.660072260995264,0.6922747159217515,0.032202454926487545,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,mfcc_delta13,registered,0.3529494241207623,2.726333368780107,0.6604963472505224,0.6922890575451804,0.03179271029465802,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,mfcc_delta_delta13,participant_item,0.36224760790065763,2.5616168746868033,0.6586577496251759,0.6922747159217515,0.03361696629657562,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,mfcc_delta_delta13,registered,0.35590056895209904,2.510691090078223,0.6590449612275674,0.6922890575451804,0.03324409631761305,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,mfcc_static13,participant_item,0.1286028199724418,1.1593726709994032,0.6872002881512652,0.6922747159217515,0.005074427770486278,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,mfcc_static13,registered,0.1227878348040239,1.100381695429538,0.6873744717436983,0.6922797521773877,0.0049052804336894296,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,mfcc_static_spectral12,participant_item,0.10627784134025813,0.9394002355114074,0.6894049938190925,0.6922747159217515,0.0028697221026590114,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,mfcc_static_spectral12,registered,0.10115753840916959,0.888501364527542,0.6895179903904565,0.6922797521773877,0.002761761786931216,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf24_legacy,participant_item,0.4315377488374354,3.8714695892228366,0.63987615202059,0.6922747159217515,0.05239856390116149,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf24_legacy,registered,0.4264252058649453,3.8169921075687636,0.6403836179635832,0.6922890575451804,0.05190543958159721,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_direction_negative,participant_item,0.3985008358487287,3.622091947120483,0.6467896026255334,0.6922747159217515,0.04548511329621807,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_direction_negative,registered,0.3965843753762617,3.585594427360276,0.6469727790325255,0.6922797521773877,0.045306973144862206,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_direction_positive,participant_item,0.41717395991213135,3.6535927061403335,0.6442463615497931,0.6922747159217515,0.048028354371958404,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_direction_positive,registered,0.412357259989028,3.60936048015936,0.644766145241252,0.6922540915993672,0.04748794635811526,3,3,participant_item_intercepts;participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_rate_16,participant_item,0.30693528227413436,2.3631438316755764,0.6532893609235402,0.6922747159217515,0.03898535499821132,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_rate_16,registered,0.287657038886904,2.19938616515897,0.655217243155505,0.6922797521773877,0.037062509021882684,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
all_conditions,all,strf_rate_2,participant_item,0.1280198077262837,1.4087892615964133,0.6828978778901101,0.6922747159217515,0.009376838031641355,3,3,participant_item_intercepts,0,0,0,0,0,0.0,True
all_conditions,all,strf_rate_2,registered,0.12985555517859834,1.42622776932692,0.6827963423738261,0.6922797521773877,0.009483409803561549,3,3,participant_item_talker_intercepts,0,0,0,0,0,,False
